x,y,prop_difference,probability,department
mountain,w_n_central,0.01,61.10%,chemistry
mountain,w_s_central,0.06,93.20%,chemistry
new_england,e_n_central,-0.05,13.30%,chemistry
new_england,e_s_central,0.04,78.60%,chemistry
new_england,mid_atlantic,-0.01,39.50%,chemistry
new_england,mountain,0.01,62.50%,chemistry
new_england,new_england,0,na,chemistry
new_england,pacific,0.02,71.20%,chemistry
new_england,s_atlantic,0.02,69.30%,chemistry
new_england,w_n_central,0.02,71.80%,chemistry
new_england,w_s_central,0.07,95.80%,chemistry
pacific,e_n_central,-0.07,3.00%,chemistry
pacific,e_s_central,0.01,62.10%,chemistry
pacific,mid_atlantic,-0.04,19.70%,chemistry
pacific,mountain,-0.01,39.90%,chemistry
pacific,new_england,-0.02,28.80%,chemistry
pacific,pacific,0,na,chemistry
pacific,s_atlantic,-0.001,49.40%,chemistry
pacific,w_n_central,0.001,51.70%,chemistry
pacific,w_s_central,0.05,90.00%,chemistry
s_atlantic,e_n_central,-0.07,5.00%,chemistry
s_atlantic,e_s_central,0.01,61.70%,chemistry
s_atlantic,mid_atlantic,-0.04,21.80%,chemistry
s_atlantic,mountain,-0.01,41.40%,chemistry
s_atlantic,new_england,-0.02,30.70%,chemistry
s_atlantic,pacific,0.001,50.60%,chemistry
s_atlantic,s_atlantic,0,na,chemistry
s_atlantic,w_n_central,0.002,52.20%,chemistry
s_atlantic,w_s_central,0.05,88.70%,chemistry
w_n_central,e_n_central,-0.07,3.40%,chemistry
w_n_central,e_s_central,0.01,60.60%,chemistry
w_n_central,mid_atlantic,-0.04,19.90%,chemistry
w_n_central,mountain,-0.01,38.90%,chemistry
w_n_central,new_england,-0.02,28.20%,chemistry
w_n_central,pacific,-0.001,48.30%,chemistry
w_n_central,s_atlantic,-0.002,47.90%,chemistry
w_n_central,w_n_central,0,na,chemistry
w_n_central,w_s_central,0.05,88.90%,chemistry
w_s_central,e_n_central,-0.12,0.10%,chemistry
w_s_central,e_s_central,-0.04,18.90%,chemistry
w_s_central,mid_atlantic,-0.09,2.30%,chemistry
w_s_central,mountain,-0.06,6.80%,chemistry
w_s_central,new_england,-0.07,4.20%,chemistry
w_s_central,pacific,-0.05,10.00%,chemistry
w_s_central,s_atlantic,-0.05,11.40%,chemistry
w_s_central,w_n_central,-0.05,11.10%,chemistry
w_s_central,w_s_central,0,na,chemistry
e_n_central,e_n_central,0,na,comp_sci
e_n_central,e_s_central,-0.02,34.80%,comp_sci
e_n_central,mid_atlantic,0.01,55.70%,comp_sci
e_n_central,mountain,0.02,68.40%,comp_sci
